state,population_total,state_code,K200101_001E,population_under_18,earnings_median
Alabama,5039877,01,5039877,1119942,34925
Puerto Rico,3263584,72,3263584,545788,17843
Arizona,7276316,04,7276316,1614284,39023
Arkansas,3025891,05,3025891,703793,33869
California,39237836,06,39237836,8769779,41891
Colorado,5812069,08,5812069,1241947,44818
Connecticut,3605597,09,3605597,727239,45511
Delaware,1003384,10,1003384,208517,41374
District of Columbia,670050,11,670050,125729,72457
Florida,21781128,12,21781128,4287823,35997
Georgia,10799566,13,10799566,2522124,37512
Hawaii,1441553,15,1441553,304201,40595
Idaho,1900923,16,1900923,469986,34941
Illinois,12671469,17,12671469,2800177,41504
Indiana,6805985,18,6805985,1585398,37998
Iowa,3193079,19,3193079,736984,39068
Kansas,2934582,20,2934582,702206,38071
Kentucky,4509394,21,4509394,1015455,34928
Louisiana,4624047,22,4624047,1082043,34896
Maine,1372247,23,1372247,249675,39725
Maryland,6165129,24,6165129,1360097,50548
Massachusetts,6984723,25,6984723,1361940,50683
Michigan,10050811,26,10050811,2151937,37258
Minnesota,5707390,27,5707390,1308981,43853
Mississippi,2949965,28,2949965,691885,32242
Missouri,6168187,29,6168187,1383537,37083
Montana,1104271,30,1104271,234847,35272
Nebraska,1963692,31,1963692,482202,38898
Nevada,3143991,32,3143991,697619,37052
New Hampshire,1388992,33,1388992,256254,45677
New Jersey,9267130,34,9267130,2020876,50021
New Mexico,2115877,35,2115877,471808,34133
New York,19835913,36,19835913,4103566,43462
North Carolina,10551162,37,10551162,2299746,37218
North Dakota,774948,38,774948,182589,39438
Ohio,11780017,39,11780017,2603410,38214
Oklahoma,3986639,40,3986639,957938,34460
Oregon,4246155,41,4246155,858666,40063
Pennsylvania,12964056,42,12964056,2674227,40983
Rhode Island,1095610,44,1095610,208321,41891
South Carolina,5190705,45,5190705,1115996,35987
South Dakota,895376,46,895376,220621,37149
Tennessee,6975218,47,6975218,1537615,36663
Texas,29527941,48,29527941,7456547,38059
Utah,3337975,49,3337975,945457,37325
Vermont,645570,50,645570,116767,40249
Virginia,8642274,51,8642274,1881818,43963
Washington,7738692,53,7738692,1675782,46951
West Virginia,1782959,54,1782959,361392,33739
Wisconsin,5895908,55,5895908,1274605,40678
Wyoming,578803,56,578803,131529,35613
Alaska,732673,02,732673,179401,41962
